name,min,max
4DCS.41HLB11AA101AI,0.00,100.00
4DCS.41HLA41CP101,0.00,13.00
4DCS.41HLA42CT301,0.00,60.00
4DCS.42HLB11AN001CE,0.00,100.00
4DCS.42HLB11AA101AI,0.00,100.00
4DCS.42HLA11CT301,-20.00,40.00
4DCS.42HLA12CT301,-20.00,40.00
4DCS.40HBK70CT101,0.00,580.00
4DCS.40HBK71CT101,0.00,580.00
4DCS.40HNA12CP103,-2.50,2.50
4DCS.40HNA12CP104,-2.50,2.50
4DCS.40HNA12CT607,0.00,1000.00
4DCS.40HNA11CP103,-2.50,2.50
4DCS.40HNA11CP104,-2.50,2.50
4DCS.40HNA11CT607,0.00,1000.00
4DCS.40HNA11CT608,0.00,800.00
4DCS.40HNA12CT608,0.00,800.00
4DCS.40HNA12CP105,-2.50,2.50
4DCS.40HNA12CP106,-2.50,2.50
4DCS.40HNA11CP105,-2.50,2.50
4DCS.40HNA11CP106,-2.50,2.50
4DCS.40HNA11CT609,0.00,650.00
4DCS.40HNA12CT609,0.00,650.00
4DCS.40HNA11CP107,-2.50,2.50
4DCS.40HNA11CP108,-2.50,2.50
4DCS.40HNA11CT601,0.00,550.00
4DCS.40HNA11CT602,0.00,550.00
4DCS.40HNA12CP107,-2.50,2.50
4DCS.40HNA12CP108,-2.50,2.50
4DCS.40HNA12CT601,0.00,450.00
4DCS.40HNA12CT602,0.00,450.00
4DCS.40HNA11CP109,-2.50,2.50
4DCS.40HNA11CP110,-2.50,2.50
4DCS.40HNA11CT604,0.00,400.00
4DCS.40HNA11CT605,0.00,400.00
4DCS.40HAD20CT601,0.00,415.00
4DCS.40HAD20CT602,0.00,415.00
4DCS.40HAD20CT603,0.00,415.00
4DCS.40HAD20CT604,0.00,415.00
4DCS.40HAD20CT605,0.00,415.00
4DCS.40HAD20CT606,0.00,415.00
4DCS.40HAD20CT607,0.00,415.00
4DCS.40HAD20CT608,0.00,415.00
4DCS.40HAD20CT609,0.00,415.00
4DCS.40HAD20CT610,0.00,415.00
4DCS.40HAD20CT611,0.00,415.00
4DCS.40HAD20CT612,0.00,415.00
4DCS.40HAD20CT613,0.00,415.00
4DCS.40HAD20CT614,0.00,415.00
4DCS.40HAD20CT615,0.00,415.00
4DCS.40HAD20CT616,0.00,415.00
4DCS.40HAD20CT617,0.00,415.00
4DCS.40HAD20CT618,0.00,415.00
4DCS.40HAD20CT619,0.00,415.00
4DCS.40HAD20CT620,0.00,415.00
4DCS.40HAD20CT621,0.00,415.00
4DCS.40HAD20CT622,0.00,415.00
4DCS.40HAD20CT623,0.00,415.00
4DCS.40HAD20CT624,0.00,415.00
4DCS.40HAD20CT625,0.00,415.00
4DCS.40HAD20CT626,0.00,415.00
4DCS.40HAD20CT627,0.00,415.00
4DCS.40HAD20CT628,0.00,415.00
4DCS.40HAD20CT629,0.00,415.00
4DCS.40HAD20CT630,0.00,415.00
4DCS.40HAD20CT631,0.00,415.00
4DCS.40HAD20CT632,0.00,415.00
4DCS.40HAD20CT633,0.00,415.00
4DCS.40HAD20CT634,0.00,415.00
4DCS.40HAD20CT635,0.00,415.00
4DCS.40HAD20CT636,0.00,415.00
4DCS.40HAD20CT637,0.00,415.00
4DCS.40HAD20CT638,0.00,415.00
4DCS.40HAD20CT639,0.00,415.00
4DCS.40HAD20CT640,0.00,415.00
4DCS.40HAD20CT641,0.00,415.00
4DCS.40HAD20CT642,0.00,415.00
